date,mv_gross_nav_no_trading_cost,mv_net_nav_no_trading_cost,mv_no_trading_cost,mv_constraints_gross_no_trading_cost,mv_constraints_net_no_trading_cost,mv__no_trading_cost,mi_constraints_gross_no_trading_cost,mi_constraints_net_no_trading_cost,mi_no_trading_cost,ew_gross_nav_no_trading_cost,ew_net_nav_no_trading_cost,ew_no_trading_cost,capm_constraints_gross_no_trading_cost,capm_constraints_net_no_trading_cost,capm_no_trading_cost,mv_gross_nav,mv_net_nav,mv,mv_constraints_gross,mv_constraints_net,mv_,mi_constraints_gross,mi_constraints_net,mi,ew_gross_nav,ew_net_nav,ew,capm_constraints_gross,capm_constraints_net,capm
12/30/2016,20430378.36,20036331.58,99599694.94,18945155.3,18586529.84,99629141.92,14410243.53,14021098.29,99599501.77,-3633.383,-39116.16956,99964000.44,24323796.57,23949304.16,99618053.61,27960635.76,27573160.75,99607557.97,26133603.6,25803378.87,99658686.66,26712399.27,26367908.17,99643397.48,27960635.76,27573160.75,99607557.97,26712399.27,26367908.17,99643397.48
12/31/2016,20430378.36,20036331.58,99599694.94,18945155.3,18586529.84,99629141.92,14410243.53,14021098.29,99599501.77,-3633.383,-39116.16956,99964000.44,24323796.57,23949304.16,99618053.61,27960635.76,27573160.75,99607557.97,26133603.6,25803378.87,99658686.66,26712399.27,26367908.17,99643397.48,27960635.76,27573160.75,99607557.97,26712399.27,26367908.17,99643397.48
1/1/2017,20430378.36,20036331.58,99599694.94,18945155.3,18586529.84,99629141.92,14410243.53,14021098.29,99599501.77,-3633.383,-39116.16956,99964000.44,24323796.57,23949304.16,99618053.61,27960635.76,27573160.75,99607557.97,26133603.6,25803378.87,99658686.66,26712399.27,26367908.17,99643397.48,27960635.76,27573160.75,99607557.97,26712399.27,26367908.17,99643397.48
1/2/2017,20430378.36,20036331.58,99599694.94,18945155.3,18586529.84,99629141.92,14410243.53,14021098.29,99599501.77,-3633.383,-39116.16956,99964000.44,24323796.57,23949304.16,99618053.61,27960635.76,27573160.75,99607557.97,26133603.6,25803378.87,99658686.66,26712399.27,26367908.17,99643397.48,27960635.76,27573160.75,99607557.97,26712399.27,26367908.17,99643397.48
1/3/2017,20502359,20108313,100310841.9,18999424,18640798,100446677.7,14451524,14062379,100211970.5,-33300,-68783,100988619,24428830,24054338,100430452.8,27930013,27542538,100312481.8,26285399,25955174,100491249,26875869,26531378,100469759.6,27930013,27542538,100312481.8,26875869,26531378,100469759.6
1/4/2017,20580746,20186699,101718963.8,19084967,18726341,101806845.8,14495756,14106611,101484075.5,127954,92471,102687583.8,24607672,24233180,101809545,28084759,27697284,101796017.6,26425305,26095080,101941084.8,27004222,26659730,101898479.3,28084759,27697284,101796017.6,27004222,26659730,101898479.3
1/5/2017,20629643,20235596,100931167.1,19076880,18718254,101078495.4,14519491,14130346,100540045.6,-184920,-220403,101842308.3,24556123,24181631,101064519.9,27964644,27577169,100989696.6,26357523,26027298,101259188.2,27011479,26666988,101238232.6,27964644,27577169,100989696.6,27011479,26666988,101238232.6
1/6/2017,20681871,20287824,100675866.3,19112378,18753753,100989085.8,14569829,14180684,100341649.3,-241039,-276522,101690164.9,24591582,24217089,100964558.7,27977434,27589959,100732666.1,26434385,26104161,101210293.8,27088486,26743995,101162821.7,27977434,27589959,100732666.1,27088486,26743995,101162821.7
1/7/2017,20681871,20287824,100675866.3,19112378,18753753,100989085.8,14569829,14180684,100341649.3,-241039,-276522,101690164.9,24591582,24217089,100964558.7,27977434,27589959,100732666.1,26434385,26104161,101210293.8,27088486,26743995,101162821.7,27977434,27589959,100732666.1,27088486,26743995,101162821.7
1/8/2017,20681871,20287824,100675866.3,19112378,18753753,100989085.8,14569829,14180684,100341649.3,-241039,-276522,101690164.9,24591582,24217089,100964558.7,27977434,27589959,100732666.1,26434385,26104161,101210293.8,27088486,26743995,101162821.7,27977434,27589959,100732666.1,27088486,26743995,101162821.7
1/9/2017,20787424,20393377,99963715.09,19101407,18742781,100288741.5,14619854,14230709,99547918.33,83922,48439,101067650.3,24580797,24206304,100245015.7,27944283,27556808,99877219.59,26191972,25861747,100535547.1,26897624,26553133,100483897.1,27944283,27556808,99877219.59,26897624,26553133,100483897.1
1/10/2017,20847869,20453823,100631100.4,19081349,18722724,100764431.7,14647415,14258270,100114949.9,-157898,-193381,101512893.9,24639337,24264845,100717756.2,28064172,27676697,100555048.4,26159863,25829638,101033340.6,26878642,26534151,100997840.6,28064172,27676697,100555048.4,26878642,26534151,100997840.6
1/11/2017,20911669,20517622,100725796.4,19084798,18726173,100933006.2,14673220,14284075,100245534.1,-382905,-418388,101829482.5,24699381,24324888,100983910.8,27975172,27587697,100682696.2,26146029,25815804,101174566.1,26781628,26437137,101167988.7,27975172,27587697,100682696.2,26781628,26437137,101167988.7
1/12/2017,20951971,20557925,100018621.6,19148959,18790333,100564330.5,14718270,14329125,99558040.7,-126814,-162297,101164136.2,24636750,24262258,100576719.8,27996508,27609033,99951769.19,26128197,25797972,100786677.2,26782321,26437830,100781876,27996508,27609033,99951769.19,26782321,26437830,100781876
1/13/2017,21035170,20641124,100446130.5,19195475,18836849,101010928.1,14775849,14386704,100087206.8,-68388,-103871,101523466.5,24699949,24325457,101035055.8,28047836,27660361,100319692.9,26169182,25838957,101232948.8,26834189,26489698,101210156.8,28047836,27660361,100319692.9,26834189,26489698,101210156.8
1/14/2017,21035170,20641124,100446130.5,19195475,18836849,101010928.1,14775849,14386704,100087206.8,-68388,-103871,101523466.5,24699949,24325457,101035055.8,28047836,27660361,100319692.9,26169182,25838957,101232948.8,26834189,26489698,101210156.8,28047836,27660361,100319692.9,26834189,26489698,101210156.8
1/15/2017,21035170,20641124,100446130.5,19195475,18836849,101010928.1,14775849,14386704,100087206.8,-68388,-103871,101523466.5,24699949,24325457,101035055.8,28047836,27660361,100319692.9,26169182,25838957,101232948.8,26834189,26489698,101210156.8,28047836,27660361,100319692.9,26834189,26489698,101210156.8
1/16/2017,21035170,20641124,100446130.5,19195475,18836849,101010928.1,14775849,14386704,100087206.8,-68388,-103871,101523466.5,24699949,24325457,101035055.8,28047836,27660361,100319692.9,26169182,25838957,101232948.8,26834189,26489698,101210156.8,28047836,27660361,100319692.9,26834189,26489698,101210156.8
1/17/2017,21071122,20677075,99587350.39,19195224,18836598,100284863,14808898,14419752,99132119.53,-154033,-189516,100601281.9,24593101,24218608,100289600.9,28203311,27815836,99438973.73,26228457,25898233,100563419.6,26879454,26534963,100486021.5,28203311,27815836,99438973.73,26879454,26534963,100486021.5
1/18/2017,21134175,20740128,100064459.8,19159587,18800962,100592227.9,14827618,14438473,99492285.1,-297394,-332877,101166095,24665974,24291481,100607222.1,28162854,27775379,99829971.85,26154560,25824335,100923056.7,26797454,26452963,100846615,28162854,27775379,99829971.85,26797454,26452963,100846615
1/19/2017,21178549,20784503,99329280.24,19135746,18777120,99916859.35,14863838,14474693,98705112.24,-239449,-274932,100311808.9,24598272,24223780,99885558.08,28186196,27798721,99012394.33,26015146,25684921,100155230.9,26692678,26348187,100100655,28186196,27798721,99012394.33,26692678,26348187,100100655
1/20/2017,21265247,20871200,99806089.37,19166147,18807522,100358877.1,14908986,14519841,99139049.96,-127012,-162495,100936058.1,24680359,24305866,100346906,28300234,27912759,99533441.43,26136484,25806259,100718272.2,26783666,26439175,100629447.5,28300234,27912759,99533441.43,26783666,26439175,100629447.5
1/21/2017,21265247,20871200,99806089.37,19166147,18807522,100358877.1,14908986,14519841,99139049.96,-127012,-162495,100936058.1,24680359,24305866,100346906,28300234,27912759,99533441.43,26136484,25806259,100718272.2,26783666,26439175,100629447.5,28300234,27912759,99533441.43,26783666,26439175,100629447.5
1/22/2017,21265247,20871200,99806089.37,19166147,18807522,100358877.1,14908986,14519841,99139049.96,-127012,-162495,100936058.1,24680359,24305866,100346906,28300234,27912759,99533441.43,26136484,25806259,100718272.2,26783666,26439175,100629447.5,28300234,27912759,99533441.43,26783666,26439175,100629447.5
1/23/2017,21296532,20902485,99549215.29,19212226,18853600,100105532.4,14957788,14568643,98865180.16,-136935,-172417,100590216,24693975,24319483,100074620.9,28273093,27885618,99250691.92,26139322,25809097,100474101.4,26770874,26426382,100391869.6,28273093,27885618,99250691.92,26770874,26426382,100391869.6
1/24/2017,21392602,20998555,101259666.7,19236877,18878252,101593161.4,15001814,14612669,100457165.4,-477258,-512741,102500708.7,24870953,24496461,101681217,28245402,27857927,100800497.3,25953027,25622802,102081603.8,26604682,26260191,102002474.7,28245402,27857927,100800497.3,26604682,26260191,102002474.7
1/25/2017,21481988,21087941,102095506.5,19317179,18958554,102612400.2,15033900,14644755,101363423.7,-532106,-567589,103520457.9,24954099,24579607,102682432,28444723,28057248,101696373.1,26109329,25779104,103054439.4,26801816,26457325,103039120.6,28444723,28057248,101696373.1,26801816,26457325,103039120.6
1/26/2017,21566553,21172506,101865046.7,19325979,18967353,102020859.8,15057775,14668630,100877143.5,-502684,-538167,103322670.4,24980425,24605933,102135939.6,28436594,28049119,101463082.7,26122731,25792506,102509040.2,26742970,26398479,102468100.1,28436594,28049119,101463082.7,26742970,26398479,102468100.1
1/27/2017,21662293,21268246,101742474.1,19374818,19016193,101720780.1,15122298,14733153,100625839.9,-314068,-349551,103146610.9,25012544,24638052,101926478,28488168,28100693,101374485.4,26177058,25846834,102307581.5,26833889,26489398,102299195.6,28488168,28100693,101374485.4,26833889,26489398,102299195.6
