date,mv_gross_no_trading_cost,mv_net_no_trading_cost,mv_budget_no_trading_cost,mv_turnover_no_trading_cost,mv_volatility_no_trading_cost,mv_constraints_gross_no_trading_cost,mv_constraints_net_no_trading_cost,mv_constraints_budget_no_trading_cost,mv_constraints_turnover_no_trading_cost,mv_constraints_volatility_no_trading_cost,mi_constraints_gross_no_trading_cost,mi_constraints_net_no_trading_cost,mi_constraints_budget_no_trading_cost,mi_constraints_turnover_no_trading_cost,mi_constraints_volatility_no_trading_cost,ew_gross_no_trading_cost,ew_net_no_trading_cost,ew_no_trading_cost,ew_turnover_no_trading_cost,ew_volatility_no_trading_cost,capm_constraints_gross_no_trading_cost,capm_constraints_net_no_trading_cost,capm_no_trading_cost,capm_constraints_turnover_no_trading_cost,capm_constraints_volatility_no_trading_cost,mv_gross,mv_net,mv_budget,mv_turnover,mv_volatility,mv_constraints_gross,mv_constraints_net,mv_constraints_budget,mv_constraints_turnover,mv_constraints_volatility,mi_constraints_gross,mi_constraints_net,mi_constraints_budget,mi_constraints_turnover,mi_constraints_volatility,ew_gross,ew_net,ew,ew_turnover,ew_volatility,capm_constraints_gross,capm_constraints_net,capm,capm_constraints_turnover,capm_constraints_volatility
12/30/2016,20430378.36,20036331.58,99999632.42,0,0,18945155.3,18586529.84,99994196.48,0,0,14410243.53,14021098.29,99994196.48,0,0,-3633.383,-39116.16956,99999575.09,0,0,24323796.57,23949304.16,99995897.96,0,0,27960635.76,27573160.75,99999632.42,0,0,26133603.6,25803378.87,99994196.48,0,0,26712399.27,26367908.17,99994196.48,0,0,27960635.76,27573160.75,99999632.42,0,0,26712399.27,26367908.17,99994196.48,0,0
3/31/2017,20592532.22,20333521.35,104423767.2,-1.100424251,0.197707741,19228841.4,19054799.74,103963198.8,-0.473849115,0.051334938,15356298.61,15161402.67,102020080.2,-0.943857261,0.102785539,614442.714,318162.8454,105756781.9,-16.95075361,0.017198707,85962120.21,85603561.08,103886049.6,0.966285736,0.000361592,20601120.1,-7828443.164,104468530.3,2.927772422,0.197707741,19716951.67,11675322.83,104933544.9,-0.509861705,0.045138295,20872843.56,11828734.87,105247871.6,-1.326845193,0.082875419,607793.632,-43619217.41,104468530.3,1.381086218,0.017198707,11246518.45,-8886687.26,105247871.6,-6.059164504,0.063657675
6/30/2017,22456061.32,22173031.45,109312076.5,0.731018672,0.172816961,25085187.87,24867524.15,105860358.1,1.065100001,0.091260072,18960179.74,18735025.79,105404059.7,1.224924922,0.147986648,219348.13,-79718.70575,110188842.5,178.8037057,0.022298833,98478414.96,98273697.22,104541311.7,0.487189364,0.000343613,16675032.95,-13889917.9,81188443.39,0.439181861,0.172816961,22127790.88,13785967.77,99126908.29,1.063683032,0.089478583,21664455.58,12606575.82,98727134,1.803463551,0.11118167,127440.873,-50773724.78,64912597.48,0.428377081,0.022298833,15259219.06,-10817367.22,88134995.1,6.57366978,0.023088246
9/29/2017,30618419.75,30306033.69,114539892.8,2.265941519,0.244072639,26564504.54,26324129.46,109971536.1,0.102335768,0.041999724,21027675.74,20775346.66,110256366.4,0.967839446,0.074538647,-62268.686,-385941.0081,115170112.5,-47.38625753,0.011042708,107766022.8,107551140.1,107986151.5,0.72020529,0.000441524,14620168.33,-2956088.188,54715909.24,-3.334575754,0.244072639,22603108.86,14096425.01,94865073.15,0.270820438,0.046350914,21015916.28,12340489.79,94220816.58,0.599117225,0.109650928,-12266.809,-15035175.3,17122343.38,0.382649346,0.011042708,12690741.21,376719.0577,66021386.18,-4.742791646,0.020452197
12/29/2017,38947108.94,38567298.55,127938441.1,0.084706477,0.34999599,28523111.53,28237138.14,119467789.2,0.672047567,0.070760616,26636840.11,26322548.82,117938402.4,0.008186897,0.130658567,181898.697,-227157.3074,125320161.8,-12.77572812,0.027826728,111725035.1,111521727,112062013.8,-0.369089514,0.000164657,13291423.38,-2016105.151,43684208.77,9.93980894,0.34999599,21649683.72,12774638.57,94326203.34,0.541408664,0.077322793,23086270.56,13141876.47,94718878.7,1.106866286,0.145808422,970.979,-1999197.046,3656324.704,2.200833585,0.027826728,11452138.05,7625999.594,57541167.71,0.346603743,0.025976369
3/29/2018,22581499.87,22233613.96,125736650.1,0.229886154,0.636026723,19974739.7,19733068.23,114999401.6,-0.65845817,0.171106573,16004138.13,15724925.12,115391324,-1.548732336,0.414711607,-495534.776,-889285.8386,122083689.3,35.08984248,0.03977171,18015709.5,17618049.65,105078758.5,-11.66364065,0.02078201,4971181.767,-1388199.724,27750464.14,12.97817576,0.635954342,14576863.19,8252726.713,82060321.11,-0.626798897,0.177321903,14465730,7745513.956,82093209.26,-0.959729728,0.436281083,-12086.906,-204439.5704,1572991.445,5.188819356,0.03977171,7912102.593,-993514.219,52293183.92,14.25334407,0.037394027
6/29/2018,35508666.64,35120564.99,138363475.1,-1.205903151,0.049959242,24123572.4,23866832,122236913.9,-0.534277025,0.042749753,21894646.88,21602627,124293789.5,1.004905561,0.074646813,-96430.337,-497096.5384,131350039.7,7.686635703,0.021659128,77663796.2,77299982.58,111024327.4,1.660986144,0.004270627,6209005.494,1891265.052,24252291.07,-7.854689633,0.049959242,16844861.64,11014058.43,81508972.44,-0.780747628,0.033158196,19887161.33,12431624.57,81743706.73,-0.299309232,0.036823951,-5834.794,-65308.10884,1502680.677,0.865129936,0.021659128,5884307.462,1549146.472,47271578.6,2.525455192,0.234608075
9/28/2018,38767561.56,38347370.41,145489693,-1.572616306,0.080891262,38977648.22,38662722.82,128645201.7,0.461966946,0.060782837,32874156.51,32533419.43,128567515.1,-0.347390474,0.076381001,-70098.306,-489765.2308,137100759.6,205.7544996,0.013906741,117153201.9,116765226.2,116029893.1,0.595578857,0.000267739,5647309.663,1613483.944,21242546.92,-7.657838833,0.080891262,22216056.33,15046927.29,79883877.78,0.286583428,0.062850909,21295926.53,14127201.43,79342096.24,-0.377088132,0.069533473,-5501.16,-72395.03206,1512089.05,15.39332145,0.013906741,7464704.333,3160799.424,44477141.79,2.57922092,0.0607446
12/31/2018,21360763.8,21028047.88,118796924.3,-4.381058124,139.1483119,20288377.01,20035285.54,105125780.7,-2.08537582,1.921626367,14461262.24,14195548.49,105162588.4,-3.626615768,3.748384406,186503.36,-141138.9298,107541139.5,487.3864362,0.824812911,19121066.98,18725491.78,103825973,-10.42604394,0.994088066,2389775.64,-616090.7608,13366039.02,20.1428114,139.1483735,10687072.03,6063209.215,58216470.55,-4.033276625,2.390622039,10055422.18,5611201.729,57805739.77,-5.749285369,6.567149584,-5240.294,-83527.21782,1122444.36,7.911193707,0.824812911,4347973.643,-1399799.695,32826328.88,0.31418781,1.352249385
3/29/2019,26598929.24,26265953.59,129596040.2,1.581594967,0.278053431,26189680.75,25941374.09,118777931,-0.066129882,0.144826837,22190225.65,21925260.66,117716285.4,0.943341123,0.290401732,69756.789,-269956.5801,122843689.5,193.2403351,0.063767416,74697264.17,74338123.37,117751017.4,1.37279091,0.007574622,2368308.399,845633.6948,11612253,5.246952702,0.278053431,12682140.31,8494870.133,61413923.28,-0.459771596,0.155591515,13421525.56,8855052.503,60649180.86,0.047566065,0.197878879,-4698.863,-59493.93297,1206178.54,6.901544065,0.063767416,3507989.723,2258525.176,31197374.04,-1.1295867,0.085835103
